#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,34,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T16:04:09.545419321Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T16:04:09.488209017Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,fe320c0d-4540-40cd-9bd7-d6c14db6567f,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T16:04:03.896515005Z
,,35,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T16:04:09.545419321Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T16:04:09.488209017Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,fe320c0d-4540-40cd-9bd7-d6c14db6567f,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T16:04:03.896515005Z
,,36,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T17:04:09.604815177Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T17:04:09.500059416Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,8b7da878-babc-49ed-889c-c595a22e963c,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T17:04:03.896603821Z
,,37,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T17:04:09.604815177Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T17:04:09.500059416Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,8b7da878-babc-49ed-889c-c595a22e963c,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T17:04:03.896603821Z
,,38,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T18:04:09.528048549Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T18:04:09.467803662Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,4b5c9785-dc75-4d5d-afe6-939c9f586773,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T18:04:03.896633306Z
,,39,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T18:04:09.528048549Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T18:04:09.467803662Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,4b5c9785-dc75-4d5d-afe6-939c9f586773,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T18:04:03.896633306Z
,,40,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T19:04:09.541982645Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T19:04:09.484006544Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,a26d8b09-836f-4724-9c7d-d989295bd6b2,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T19:04:03.896444365Z
,,41,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T19:04:09.541982645Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T19:04:09.484006544Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,a26d8b09-836f-4724-9c7d-d989295bd6b2,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T19:04:03.896444365Z
,,42,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T20:04:09.543196078Z,64,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T20:04:09.482342598Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,001d2451-91b8-41ef-b1e4-7aa4b12a6935,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T20:04:03.896453013Z
,,43,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T20:04:09.543196078Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T20:04:09.482342598Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,001d2451-91b8-41ef-b1e4-7aa4b12a6935,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T20:04:03.896453013Z
