#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,21,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T09:10:57.745289509Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T09:10:57.687544418Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,d2fe0e66-45d2-4213-9196-ba34b57b3c2f,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T09:10:52.184426233Z
,,22,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T10:10:57.736470421Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T10:10:57.676805157Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,26def18f-8598-4838-81bb-3a75b5398529,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T10:10:52.184438619Z
,,23,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T10:10:57.736470421Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T10:10:57.676805157Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,26def18f-8598-4838-81bb-3a75b5398529,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T10:10:52.184438619Z
,,24,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T11:10:57.756583991Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T11:10:57.697425013Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,91af6fbd-5456-4073-96f2-85adb591c909,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T11:10:52.184359572Z
,,25,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T11:10:57.756583991Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T11:10:57.697425013Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,91af6fbd-5456-4073-96f2-85adb591c909,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T11:10:52.184359572Z
,,26,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T12:10:57.747584631Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T12:10:57.689673562Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,ffb1e098-00a4-4c80-82cf-8f2bcc736354,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T12:10:52.184350268Z
,,27,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T12:10:57.747584631Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T12:10:57.689673562Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,ffb1e098-00a4-4c80-82cf-8f2bcc736354,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T12:10:52.184350268Z
,,28,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T13:10:57.747870008Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T13:10:57.689096507Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,29746d92-88ce-456b-9a88-bd696dd20169,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T13:10:52.184373953Z
,,29,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T13:10:57.747870008Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T13:10:57.689096507Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,29746d92-88ce-456b-9a88-bd696dd20169,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T13:10:52.184373953Z
,,30,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T14:10:57.768375579Z,63.9,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T14:10:57.704632823Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,11bd5dab-106c-474f-8743-75ecba3fce95,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T14:10:52.184410278Z
,,31,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T14:10:57.768375579Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T14:10:57.704632823Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,11bd5dab-106c-474f-8743-75ecba3fce95,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T14:10:52.184410278Z
,,32,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T15:10:57.752969267Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T15:10:57.693818152Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,bb12d8a3-7cfb-4f48-ab72-65b50b8757ad,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T15:10:52.184401470Z
,,33,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T15:10:57.752969267Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T15:10:57.693818152Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,bb12d8a3-7cfb-4f48-ab72-65b50b8757ad,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T15:10:52.184401470Z
,,34,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T16:10:57.747098159Z,63.9,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T16:10:57.689330183Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,6ed9adae-63d8-4af3-8b1f-bf02aa11d6d2,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T16:10:52.184402673Z
,,35,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T16:10:57.747098159Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T16:10:57.689330183Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,6ed9adae-63d8-4af3-8b1f-bf02aa11d6d2,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T16:10:52.184402673Z
,,36,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T17:10:57.733172058Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T17:10:57.675776166Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,c4cc12a8-f80c-49cc-9102-9d92e8ca0e06,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T17:10:52.184341630Z
,,37,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T17:10:57.733172058Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T17:10:57.675776166Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,c4cc12a8-f80c-49cc-9102-9d92e8ca0e06,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T17:10:52.184341630Z
