#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,deviceId,endTime,jobUUID,metricType,metricUUID,sourceHost,startTime
,,21,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T20:02:07.892118455Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T20:02:07.830628082Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,0df38a4c-b10a-4919-bd92-ebf231911e88,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T20:01:58.715410673Z
,,22,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T21:02:07.878714138Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T21:02:07.818407245Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,fe5b366b-9896-4579-baae-f88a1a4f412e,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T21:01:58.715370696Z
,,23,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T22:02:07.877080109Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T22:02:07.816955954Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,1ab8b010-a70a-4aaa-9cc4-6d6b24088c19,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T22:01:58.715568870Z
,,24,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T23:02:07.921068071Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T23:02:07.818227905Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,990b5186-f906-465e-8d12-7c37db044f5a,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T23:01:58.715389747Z
,,25,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-05T00:02:07.942684397Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-05T00:02:07.882639173Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,e5f5cf16-af6c-4e72-a0e5-05e501d4a46e,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-05T00:01:58.715418311Z
,,26,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-05T01:02:07.884160716Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-05T01:02:07.824945537Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,b2a58c83-d126-4bd0-bdb6-e9911f97e5d0,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-05T01:01:58.715362081Z
,,27,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-05T02:02:07.882261546Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-05T02:02:07.824807838Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,fd561ec9-8609-4dea-ab64-07753fa4f700,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-05T02:01:58.715395262Z
,,28,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-05T03:02:07.882599187Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-05T03:02:07.824675339Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,3b27a517-f884-4806-8d37-b3b2b7efa949,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-05T03:01:58.715386Z
,,29,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-05T04:02:07.888529464Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-05T04:02:07.828103478Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,ef79380d-230c-4f77-a12c-89f18ee9e2c1,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-05T04:01:58.715380576Z
,,30,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-05T05:02:07.884100851Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-05T05:02:07.825507782Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,c575cd57-caf4-4876-bb54-41ce580a5c62,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-05T05:01:58.715388785Z
,,31,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-05T06:02:07.88422796Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-05T06:02:07.825675038Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,d389089d-13c8-4df9-8a74-8ddd7fa9a2d1,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-05T06:01:58.715376031Z
