#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,deviceId,endTime,jobUUID,metricType,metricUUID,sourceHost,startTime
,,21,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T17:28:42.998175266Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T17:28:42.939327080Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,e9543ed3-3272-4549-bc94-f359ae0468d9,h5138.pi.uni-bamberg.de,2024-04-03T17:28:33.805089258Z
,,22,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T18:28:43.30671517Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T18:28:43.260262551Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,7b23d7ef-8378-4632-a688-cfc1e73a4aa4,h5138.pi.uni-bamberg.de,2024-04-03T18:28:33.805063759Z
,,23,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T19:28:43.013154269Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T19:28:42.900479023Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,cfef1ff8-9eb3-4015-b830-6f415844a37c,h5138.pi.uni-bamberg.de,2024-04-03T19:28:33.805171835Z
,,24,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T20:28:43.14057069Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T20:28:42.962667066Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,c45f5dde-d8a1-4006-9635-bf63732e59c7,h5138.pi.uni-bamberg.de,2024-04-03T20:28:33.805127074Z
,,25,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T21:28:42.918941637Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T21:28:42.878047164Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,da41bdbf-ec63-4f2b-8c6a-3a7d5c111478,h5138.pi.uni-bamberg.de,2024-04-03T21:28:33.805169442Z
,,26,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T22:28:43.069332167Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T22:28:42.931365380Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,1f86cc32-1e8a-4389-92ac-30fe09c5a81c,h5138.pi.uni-bamberg.de,2024-04-03T22:28:33.805174358Z
,,27,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-02T20:28:43.73739362Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-02T20:28:43.670276158Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,d9cfa821-737f-4083-9436-1b6be442030b,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-02T20:28:34.545774412Z
,,28,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-02T21:28:43.731371538Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-02T21:28:43.664641641Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,1c8f1790-ff25-4104-b68b-b7f925a0a6af,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-02T21:28:34.545790728Z
,,29,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-02T22:28:43.728039124Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-02T22:28:43.662276965Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,8dd26518-57d4-4c40-b3a6-6e4257aca916,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-02T22:28:34.545776503Z
,,30,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-02T23:28:43.729994628Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,a58dddf4-c10c-498d-89d3-6da8c591f4c6,2024-04-02T23:28:43.663267523Z,0663c7ac-0c96-43dc-88ed-5822d4d1cdde,ICMP_RTT,62dca7a8-61be-45dd-96c5-e54ac9d19c9a,pulceo-node-c9c9464326.eastus.cloudapp.azure.com,2024-04-02T23:28:34.545728638Z
