#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,20,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T06:35:46.977968764Z,64.7,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T06:35:46.933220710Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,38ffc479-f9ec-4772-9c97-dc08ce23e7ba,h5138.pi.uni-bamberg.de,2024-04-03T06:35:41.779455625Z
,,21,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T06:35:46.977968764Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T06:35:46.933220710Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,38ffc479-f9ec-4772-9c97-dc08ce23e7ba,h5138.pi.uni-bamberg.de,2024-04-03T06:35:41.779455625Z
,,22,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T07:35:47.029300283Z,64.7,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T07:35:46.984053007Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,d3c17894-5549-45bf-9092-05bdf72b843f,h5138.pi.uni-bamberg.de,2024-04-03T07:35:41.779430192Z
,,23,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T07:35:47.029300283Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T07:35:46.984053007Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,d3c17894-5549-45bf-9092-05bdf72b843f,h5138.pi.uni-bamberg.de,2024-04-03T07:35:41.779430192Z
,,24,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T08:35:47.037547362Z,64.8,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T08:35:46.992946843Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,fef757bb-e85b-433c-9bb2-b35e75757447,h5138.pi.uni-bamberg.de,2024-04-03T08:35:41.779456130Z
,,25,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T08:35:47.037547362Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T08:35:46.992946843Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,fef757bb-e85b-433c-9bb2-b35e75757447,h5138.pi.uni-bamberg.de,2024-04-03T08:35:41.779456130Z
,,26,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T09:35:47.072242169Z,64.7,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T09:35:47.030887377Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,32be7bfe-6ea9-4c80-9997-d0ee11c20392,h5138.pi.uni-bamberg.de,2024-04-03T09:35:41.779506203Z
,,27,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T09:35:47.072242169Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T09:35:47.030887377Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,32be7bfe-6ea9-4c80-9997-d0ee11c20392,h5138.pi.uni-bamberg.de,2024-04-03T09:35:41.779506203Z
,,28,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T10:35:46.950937446Z,64.7,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T10:35:46.904942606Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,85367f03-4742-4a6b-9277-02fa101da9b8,h5138.pi.uni-bamberg.de,2024-04-03T10:35:41.779487382Z
,,29,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T10:35:46.950937446Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T10:35:46.904942606Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,85367f03-4742-4a6b-9277-02fa101da9b8,h5138.pi.uni-bamberg.de,2024-04-03T10:35:41.779487382Z
