#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,21,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T23:23:48.735062739Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T23:23:48.697520477Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,846210a5-d5d5-4ecb-ab7f-4cfc5c819db7,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T23:23:43.358939967Z
,,22,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T00:23:48.590811472Z,64.7,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T00:23:48.555737112Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,53ad793e-33e1-4492-83e0-2e0f664e5dda,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T00:23:43.358965010Z
,,23,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T00:23:48.590811472Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T00:23:48.555737112Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,53ad793e-33e1-4492-83e0-2e0f664e5dda,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T00:23:43.358965010Z
,,24,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T01:23:48.571792395Z,64.7,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T01:23:48.534789165Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,d24d3df7-c0af-4724-aa5f-d911e3bc6066,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T01:23:43.358929516Z
,,25,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T01:23:48.571792395Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T01:23:48.534789165Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,d24d3df7-c0af-4724-aa5f-d911e3bc6066,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T01:23:43.358929516Z
,,26,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T02:23:48.576529427Z,64.5,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T02:23:48.541838445Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,6beb54f5-e00d-480a-bb4d-a858cd6caf1d,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T02:23:43.358831651Z
,,27,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T02:23:48.576529427Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T02:23:48.541838445Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,6beb54f5-e00d-480a-bb4d-a858cd6caf1d,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T02:23:43.358831651Z
,,28,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T03:23:48.605325322Z,64.7,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T03:23:48.567317804Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,1d289467-a469-46c8-aa2c-893ab161b140,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T03:23:43.358876929Z
,,29,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T03:23:48.605325322Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T03:23:48.567317804Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,1d289467-a469-46c8-aa2c-893ab161b140,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T03:23:43.358876929Z
,,30,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-17T04:23:48.608212971Z,64.5,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T04:23:48.571664491Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,f119f78d-276d-4526-a0b0-656d85ef5224,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T04:23:43.358926324Z
