#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,deviceId,endTime,jobUUID,metricType,metricUUID,sourceHost,startTime
,,27,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T16:17:37.762304281Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T16:17:37.726405421Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,c64a9c4b-d339-46e1-bf0c-33d272e25e91,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T16:17:28.665396292Z
,,28,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T17:17:37.803761367Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T17:17:37.769115316Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,823e915c-705f-410b-b0c1-bcd9ccd5626d,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T17:17:28.665332106Z
,,29,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T18:17:37.757704032Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T18:17:37.721735016Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,daa62025-6f77-49cb-b683-65e3ce591fac,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T18:17:28.665300381Z
,,30,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T13:17:36.779641786Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-16T13:17:36.680881807Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,7fdb1edb-1e3d-4b77-a3b2-74350dc3b192,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-16T13:17:27.327069609Z
,,31,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T14:17:36.91958842Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-16T14:17:36.827072754Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,45384090-205f-40f9-9e70-03152b0ecdc2,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-16T14:17:27.327054041Z
,,32,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T15:17:36.922171014Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-16T15:17:36.830859587Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,8410b482-9404-4330-981d-4d4464d499b7,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-16T15:17:27.327034157Z
,,33,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T16:17:36.987195445Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-16T16:17:36.893693665Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,f29351f2-7b1f-446c-b9d4-06452a78000b,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-16T16:17:27.326926309Z
,,34,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T17:17:37.209396277Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-16T17:17:37.115938119Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,812c19e6-ea56-413c-806d-7154c2ae96b8,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-16T17:17:27.326974312Z
,,35,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T18:17:36.771667508Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-16T18:17:36.676865757Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,815a88e4-a7ab-42ef-826e-885fc8f8488d,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-16T18:17:27.326940517Z
,,36,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T19:17:36.770935985Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,3b4af61f-8bb4-4118-9640-b530c6aec54e,2024-04-16T19:17:36.678051746Z,dc496a4d-c5cb-47cd-81f7-7629b6715d15,ICMP_RTT,7bf40cad-a1d8-4484-938f-08def3f7b9a1,pulceo-node-6659339536.westus.cloudapp.azure.com,2024-04-16T19:17:27.327033264Z
