#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,eventType,eventUUID,timestamp
,,20,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:28:14.361628455Z,"Application{remoteApplicationUUID=e0b113ae-13b8-4964-a9a8-c1dc2d03ab89, nodeId='615ba998-3ecb-40f4-8a00-bdebf5894303', name='fog1-edge-iot-simulator', applicationComponents=[ApplicationComponent{remoteApplicationComponentUUID=f919985b-f7ca-43ae-bc6b-2ef1acd1a77b, nodeUUID=615ba998-3ecb-40f4-8a00-bdebf5894303, nodeHost='h5138.pi.uni-bamberg.de', name='fog1-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}]}",payload,EVENT,APPLICATION_CREATED,c06bc39e-7e7a-4943-9ae2-656addd9d9dc,2024-04-16T12:28:14.242404530
,,21,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:11:39.135126061Z,"Application{remoteApplicationUUID=a48192fa-87ff-410b-9e27-2c1f0d781006, nodeId='98036c1c-1d51-4fcd-81ab-21fb40b14b3b', name='cloud1-pulceo-node-agent', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,c3ff74d8-052a-4a99-8a12-f16b15567f80,2024-04-16T12:11:39.055773321
,,22,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:29:33.138767278Z,"Application{remoteApplicationUUID=754a4432-a9e2-4a1d-bdf0-759f42e67b9c, nodeId='e6c27c8a-a337-49e1-8662-38c96bff3351', name='fog3-edge-iot-simulator', applicationComponents=[ApplicationComponent{remoteApplicationComponentUUID=db6e2e10-e4cc-4c4b-b2af-013dfc331fa9, nodeUUID=e6c27c8a-a337-49e1-8662-38c96bff3351, nodeHost='h5137.pi.uni-bamberg.de', name='fog3-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}]}",payload,EVENT,APPLICATION_CREATED,dd93b335-bee1-46d7-9573-ca06a4b5e61a,2024-04-16T12:29:33.060662242
,,23,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:08:52.352887784Z,"Application{remoteApplicationUUID=f0c93eb9-7e5a-4072-baa7-c9edad74a3f5, nodeId='e6c27c8a-a337-49e1-8662-38c96bff3351', name='fog3-pulceo-node-agent', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,e4e5dff5-f22d-4e20-b9b0-9cc31eb4e0b6,2024-04-16T12:08:51.572789817
,,24,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:10:12.197532132Z,"AzureDeloymentResult{resourceGroupName='pulceo-node-6659339536', sku='Standard_B2s', fqdn='pulceo-node-6659339536.westus.cloudapp.azure.com'}",payload,EVENT,AZURE_NODE_DEPLOYMENT_COMPLETED,282345f3-1281-4aa4-9f4b-27c5954b8862,2024-04-16T12:10:12.145897578
,,25,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:09:31.112213627Z,"AzureDeloymentResult{resourceGroupName='pulceo-node-eae9342543', sku='Standard_B2s', fqdn='pulceo-node-eae9342543.westeurope.cloudapp.azure.com'}",payload,EVENT,AZURE_NODE_DEPLOYMENT_COMPLETED,56af4886-2fec-4747-bee8-f2040c0007ec,2024-04-16T12:09:31.066799169
,,26,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:08:59.576547063Z,"CreateNewAzureNodeDTO(providerName=azure-provider, name=cloud2, type=cloud, cpu=2, memory=4, region=westus, tags=[NodeTagDTO(key=properties, value=C++, Spark, MySQL, Linux, .NET, Python)])",payload,EVENT,AZURE_NODE_DEPLOYMENT_STARTED,6213eff7-84c4-425b-9f3b-b71df1677e7f,2024-04-16T12:08:59.532146642
,,27,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:09:02.584120992Z,"CreateNewAzureNodeDTO(providerName=azure-provider, name=cloud1, type=cloud, cpu=2, memory=4, region=westeurope, tags=[NodeTagDTO(key=properties, value=Java, .NET, Ruby, MySQL)])",payload,EVENT,AZURE_NODE_DEPLOYMENT_STARTED,6d6ad80b-a175-4c99-8e17-786d4f1458ed,2024-04-16T12:09:02.539852111
,,28,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T13:16:43.635945327Z,"NodeLink{remoteNodeLinkUUID=9e125cda-0631-4fda-bacd-6df80d4bffbd, srcNode=OnPremNode{onPremProvider=OnPremProvider{providerMetaData=ProviderMetaData{providerName='default', providerType=ON_PREM}}, nodeMetaData=NodeMetaData{remoteNodeUUID=274f4374-494c-4614-9e4f-07d708939130, pnaUUID=be6f0093-ebff-4494-8123-6ab50d3ae8e5, hostname='h5137.pi.uni-bamberg.de'}, node=Node{name='fog3', type=FOG, layer=1, role=WORKLOAD, nodeGroup='', country='Germany', state='Bavaria', city='Bamberg', longitude=10.87, latitude=49.9036, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz', cores=8, threads=8, bogoMIPS=7199.92, MIPS=7199.92, GFlop=0.0, minimalFrequency=3599.962, averageFrequency=3599.962, maximalFrequency=3599.962, shares=8000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz', cores=8, threads=8, bogoMIPS=7199.92, MIPS=7199.92, GFlop=0.0, minimalFrequency=3599.962, averageFrequency=3599.962, maximalFrequency=3599.962, shares=7000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=9.715271, slots=0}, memoryAllocatable=Memory{size=8.71, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=26.2, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[dev.pulceo.prm.model.node.NodeTag@15a9195]}}, destNode=AzureNode{azureProvider=AzureProvider{providerMetaData=ProviderMetaData{providerName='azure-provider', providerType=AZURE}}, nodeMetaData=NodeMetaData{remoteNodeUUID=95c1c692-8c8e-4cf2-bf40-162f1cd1c8eb, pnaUUID=3b4af61f-8bb4-4118-9640-b530c6aec54e, hostname='pulceo-node-6659339536.westus.cloudapp.azure.com'}, node=Node{name='cloud2', type=CLOUD, layer=1, role=WORKLOAD, nodeGroup='', country='USA', state='California', city='San Francisco', longitude=-119.852, latitude=47.233, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz', cores=2, threads=2, bogoMIPS=4589.37, MIPS=4589.37, GFlop=0.0, minimalFrequency=2294.685, averageFrequency=2294.685, maximalFrequency=2294.685, shares=2000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz', cores=2, threads=2, bogoMIPS=4589.37, MIPS=4589.37, GFlop=0.0, minimalFrequency=2294.685, averageFrequency=2294.685, maximalFrequency=2294.685, shares=1000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=3.8216286, slots=0}, memoryAllocatable=Memory{size=2.82, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=28.9, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[dev.pulceo.prm.model.node.NodeTag@76a1f122]}, azureDeloymentResult=AzureDeloymentResult{resourceGroupName='pulceo-node-6659339536', sku='Standard_B2s', fqdn='pulceo-node-6659339536.westus.cloudapp.azure.com'}}}",payload,EVENT,LINK_CREATED,049659a3-3018-42de-bc4d-0ba0173c4336,2024-04-16T13:16:43.591898881
,,29,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T13:16:56.061185686Z,"NodeLink{remoteNodeLinkUUID=3ac24bc9-1e91-4ac0-aeaa-f0fa8bc8b21d, srcNode=AzureNode{azureProvider=AzureProvider{providerMetaData=ProviderMetaData{providerName='azure-provider', providerType=AZURE}}, nodeMetaData=NodeMetaData{remoteNodeUUID=95c1c692-8c8e-4cf2-bf40-162f1cd1c8eb, pnaUUID=3b4af61f-8bb4-4118-9640-b530c6aec54e, hostname='pulceo-node-6659339536.westus.cloudapp.azure.com'}, node=Node{name='cloud2', type=CLOUD, layer=1, role=WORKLOAD, nodeGroup='', country='USA', state='California', city='San Francisco', longitude=-119.852, latitude=47.233, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz', cores=2, threads=2, bogoMIPS=4589.37, MIPS=4589.37, GFlop=0.0, minimalFrequency=2294.685, averageFrequency=2294.685, maximalFrequency=2294.685, shares=2000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz', cores=2, threads=2, bogoMIPS=4589.37, MIPS=4589.37, GFlop=0.0, minimalFrequency=2294.685, averageFrequency=2294.685, maximalFrequency=2294.685, shares=1000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=3.8216286, slots=0}, memoryAllocatable=Memory{size=2.82, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=28.9, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[dev.pulceo.prm.model.node.NodeTag@7475ca71]}, azureDeloymentResult=AzureDeloymentResult{resourceGroupName='pulceo-node-6659339536', sku='Standard_B2s', fqdn='pulceo-node-6659339536.westus.cloudapp.azure.com'}}, destNode=OnPremNode{onPremProvider=OnPremProvider{providerMetaData=ProviderMetaData{providerName='default', providerType=ON_PREM}}, nodeMetaData=NodeMetaData{remoteNodeUUID=5ba8ba06-fb2f-4098-a580-6f7df36cb233, pnaUUID=6dc8fca9-d1a6-4436-b1c9-122bbaa55235, hostname='h5138.pi.uni-bamberg.de'}, node=Node{name='fog1', type=FOG, layer=1, role=WORKLOAD, nodeGroup='', country='Germany', state='Bavaria', city='Bamberg', longitude=10.87, latitude=49.9036, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz', cores=2, threads=2, bogoMIPS=7200.11, MIPS=7200.11, GFlop=0.0, minimalFrequency=3600.058, averageFrequency=3600.058, maximalFrequency=3600.058, shares=2000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz', cores=2, threads=2, bogoMIPS=7200.11, MIPS=7200.11, GFlop=0.0, minimalFrequency=3600.058, averageFrequency=3600.058, maximalFrequency=3600.058, shares=1000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=1.9250717, slots=0}, memoryAllocatable=Memory{size=0.92, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=26.2, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[dev.pulceo.prm.model.node.NodeTag@58bdff10]}}}",payload,EVENT,LINK_CREATED,08b4abb6-2606-46cd-b7de-5255dba851ba,2024-04-16T13:16:56.016720540
