#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,21,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T23:31:47.140568674Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T23:31:47.103418349Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,9deb9c6d-04ac-47d0-a5e1-a71fe63e1cad,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T23:31:41.926673419Z
,,22,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T00:31:47.136411354Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T00:31:47.101175877Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,a90945f6-011d-4848-8d6a-aeacd75c5619,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T00:31:41.926666801Z
,,23,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T00:31:47.136411354Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T00:31:47.101175877Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,a90945f6-011d-4848-8d6a-aeacd75c5619,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T00:31:41.926666801Z
,,24,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T01:31:47.14710411Z,64.5,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T01:31:47.108965514Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,6ef00bd8-01a5-4000-814b-a3f3d250dd0c,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T01:31:41.926731345Z
,,25,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T01:31:47.14710411Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T01:31:47.108965514Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,6ef00bd8-01a5-4000-814b-a3f3d250dd0c,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T01:31:41.926731345Z
,,26,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T02:31:47.139193389Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T02:31:47.104647550Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,b357b249-37a9-4e37-8f95-0a38aab4a317,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T02:31:41.926824399Z
,,27,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T02:31:47.139193389Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T02:31:47.104647550Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,b357b249-37a9-4e37-8f95-0a38aab4a317,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T02:31:41.926824399Z
,,28,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T03:31:47.160576907Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T03:31:47.123356202Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,81cf82eb-8ef4-4498-b9ed-3a60f57000f2,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T03:31:41.926728734Z
,,29,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T03:31:47.160576907Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T03:31:47.123356202Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,81cf82eb-8ef4-4498-b9ed-3a60f57000f2,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T03:31:41.926728734Z
,,30,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T04:31:47.13675728Z,64.5,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T04:31:47.100107303Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,f8229461-0bab-4843-ad45-82dbea9da898,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T04:31:41.926872158Z
,,31,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T04:31:47.13675728Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T04:31:47.100107303Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,f8229461-0bab-4843-ad45-82dbea9da898,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T04:31:41.926872158Z
,,32,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-17T05:31:47.127258924Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T05:31:47.092605347Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,8cce127c-fbaf-4972-81ae-5eb43c5742a1,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T05:31:41.926666808Z
