#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,requestType,requestUUID,resource,sourceHost,timestamp,unit
,,31,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:27:24.08180282Z,8.623191,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,5a9a8f5c-f102-46d0-8a6b-b314a57a55da,/temperature,gateway1-edge-iot-simulator,1712186844020754615,ms
,,32,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:55:24.346321928Z,9.441691,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,5c208cc1-6b8d-47d4-8e7e-cd59b2380d42,/temperature,gateway1-edge-iot-simulator,1712188524293614141,ms
,,33,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:36:24.745492917Z,8.482969,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,5d21b314-0922-4493-8d69-fdb5e7667819,/temperature,gateway1-edge-iot-simulator,1712190984692509784,ms
,,34,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:52:24.318691132Z,9.217533,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,62f2cef5-47ae-48df-afab-8eb6567a3ee6,/temperature,gateway1-edge-iot-simulator,1712188344263788762,ms
,,35,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:41:24.211504946Z,8.711155,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,693c2dd8-3297-447d-91de-8988561eeb60,/temperature,gateway1-edge-iot-simulator,1712187684156789490,ms
,,36,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:04:24.436096716Z,8.806714,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,6a0ec3e7-2fc1-4177-8d55-98c165708370,/temperature,gateway1-edge-iot-simulator,1712189064381723413,ms
,,37,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:54:24.336911382Z,9.476613,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,6b2e4080-2e51-4961-8797-1ef7db169c42,/temperature,gateway1-edge-iot-simulator,1712188464283796428,ms
,,38,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:20:24.592716666Z,9.112115,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,70385176-5ed1-4b40-a691-b0c408d8c4a4,/temperature,gateway1-edge-iot-simulator,1712190024539854416,ms
,,39,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:36:24.159225469Z,9.614248,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,7410f01e-71a5-4b90-a4be-996dc9b9057e,/temperature,gateway1-edge-iot-simulator,1712187384107457541,ms
,,40,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:42:24.800068767Z,9.527068,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,7469cb4b-cb53-47b6-94b4-ae94616ce30f,/temperature,gateway1-edge-iot-simulator,1712191344750986206,ms
